job_id,status,follow_up_date,notes,resume_path,cover_letter_path,created_at,updated_at
workday:salesforce:Senior-Manager--Technical-Consulting_JR325976,New,,,,,2026-09-05T18:18:04+00:00,2026-09-05T18:18:04+00:00
internshala:artificial-intelligence-ai-internship:3270241,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:artificial-intelligence-ai-internship:3268568,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:artificial-intelligence-ai-internship:3260904,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:artificial-intelligence-ai-internship:3270110,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:artificial-intelligence-ai-internship:3269200,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3272014,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3269297,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3271625,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270243,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270619,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270722,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3271760,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3271667,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3271661,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270862,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270855,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270818,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270815,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3267602,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270694,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270755,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270692,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270691,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270558,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270667,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270666,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:data-science-internship:3270656,New,,,,,2026-09-05T10:31:28+00:00,2026-09-05T10:31:28+00:00
internshala:machine-learning-internship:3270243,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3270694,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3271760,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3270691,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3270755,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3270667,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3270666,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3271667,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3271663,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3271661,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3270818,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3270558,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
internshala:machine-learning-internship:3270656,New,,,,,2026-09-05T10:31:27+00:00,2026-09-05T10:31:27+00:00
